CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0026000000040084RB0F;01/10/2017;9;0,803;R
ES0026000000040084RB0F;01/10/2017;10;0,678;R
ES0026000000040084RB0F;01/10/2017;11;0,974;R
ES0026000000040084RB0F;01/10/2017;12;0,433;R
ES0026000000040084RB0F;01/10/2017;13;0,744;R
ES0026000000040084RB0F;01/10/2017;14;0,457;R
ES0026000000040084RB0F;01/10/2017;15;0,581;R
ES0026000000040084RB0F;01/10/2017;16;0,241;R
ES0026000000040084RB0F;01/10/2017;17;0,347;R
ES0026000000040084RB0F;01/10/2017;18;0,336;R
ES0026000000040084RB0F;01/10/2017;19;0,093;R
ES0026000000040084RB0F;01/10/2017;20;0,071;R
ES0026000000040084RB0F;01/10/2017;21;0,085;R
ES0026000000040084RB0F;01/10/2017;22;0,091;R
ES0026000000040084RB0F;01/10/2017;23;0,265;R
ES0026000000040084RB0F;01/10/2017;24;0,435;R
ES0026000000040084RB0F;02/10/2017;1;0,448;R
ES0026000000040084RB0F;02/10/2017;2;0,429;R
ES0026000000040084RB0F;02/10/2017;3;0,429;R
ES0026000000040084RB0F;02/10/2017;4;0,449;R
ES0026000000040084RB0F;02/10/2017;5;0,128;R
ES0026000000040084RB0F;02/10/2017;6;0,069;R
ES0026000000040084RB0F;02/10/2017;7;0,091;R
ES0026000000040084RB0F;02/10/2017;8;0,072;R
ES0026000000040084RB0F;02/10/2017;9;0,074;R
ES0026000000040084RB0F;02/10/2017;10;0,085;R
ES0026000000040084RB0F;02/10/2017;11;0,062;R
ES0026000000040084RB0F;02/10/2017;12;0,075;R
ES0026000000040084RB0F;02/10/2017;13;0,084;R
ES0026000000040084RB0F;02/10/2017;14;0,092;R
ES0026000000040084RB0F;02/10/2017;15;0,21;R
ES0026000000040084RB0F;02/10/2017;16;0,123;E
ES0026000000040084RB0F;02/10/2017;17;0,121;E
ES0026000000040084RB0F;02/10/2017;18;0,129;E
ES0026000000040084RB0F;02/10/2017;19;0,137;E
ES0026000000040084RB0F;02/10/2017;20;0,15;E
ES0026000000040084RB0F;02/10/2017;21;0,163;E
ES0026000000040084RB0F;02/10/2017;22;0,157;E
ES0026000000040084RB0F;02/10/2017;23;0,133;E
ES0026000000040084RB0F;02/10/2017;24;0,107;E
ES0026000000040084RB0F;03/10/2017;1;0,126;R
ES0026000000040084RB0F;03/10/2017;2;0,092;R
ES0026000000040084RB0F;03/10/2017;3;0,058;R
ES0026000000040084RB0F;03/10/2017;4;0,09;R
ES0026000000040084RB0F;03/10/2017;5;0,09;R
ES0026000000040084RB0F;03/10/2017;6;0,054;R
ES0026000000040084RB0F;03/10/2017;7;0,085;R
ES0026000000040084RB0F;03/10/2017;8;0,098;R
